,region,aweme_id,create_time,desc,author.uid,author.nickname,author.signature,author.custom_verify,author.commerce_user_level,is_ads,share_url,statistics.play_count,statistics.comment_count,statistics.share_count,statistics.download_count,statistics.digg_count,music.id,music.mid,music.source_platform,music.id_str,music.title,music.author,music.owner_id,music.owner_nickname,music.is_original,music.is_commerce_music,music.play_url.uri,music.strong_beat_url.uri,music.is_author_artist,music.is_pgc,music.matched_pgc_sound.author,music.matched_pgc_sound.title,music.matched_pgc_sound.mixed_title,music.matched_pgc_sound.mixed_author,music.external_song_info,music.binded_challenge_id,bodydance_score
1,GY,7095923954065493254,1652148546,😗#trending #sheincares #fypシ,6532093008484007938,Amrita Lakhan,"🥀Roses are dead, Love is fake,Weddings are basically funerals with cake.
🇬🇾",,0,False,https://m.tiktok.com/v/7095923954065493254.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7095923954065493254&source=h5_m,95773,35,33,92,5421,7086264752310684421,7086264752310684421,72,7086264752310684421,original sound - otp_control,OTP Control,6893700174443906050,OTP Control,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7086264749293619974.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/614543879cadfc6e569b382661515aca.json,False,False,1Biggs Don,"Bwoii Affi"" Watch Eh Style","original sound - otp_control (Contains music from: Bwoii Affi"" Watch Eh Style - 1Biggs Don)","Contains music from: ""Bwoii Affi"" Watch Eh Style""",[],0,0
2,US,7070749376179883310,1646287130,Get dress with me 😍 #fyp #lovelymimi #outfit,6838296656187442182,Myha Luong837,,,0,False,https://m.tiktok.com/v/7070749376179883310.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7070749376179883310&source=h5_m,5243840,6794,6758,1117,906336,6978966905797331718,6978966905797331718,72,6978966905797331718,original sound - danielwillsonjr,daniel willson ‼️,6614498570261282821,daniel willson ‼️,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6978967013158931206.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/1d16689c3fe18f53a59afc019c762bcb.json,False,False,,,,,[],0,0
3,GY,7102782097579937030,1653745330,Molly get pop whole place get hot 🔥 🤣🤣🤣🤣🤣Run like a skunt🤣,6817262292666172421,Unbothered Queen,boss lady 👌❤️,,0,False,https://m.tiktok.com/v/7102782097579937030.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102782097579937030&source=h5_m,192500,100,709,2242,5923,7102782091926276869,7102782091926276869,72,7102782091926276869,original sound - unbotheredqueen1,Unbothered Queen,6817262292666172421,Unbothered Queen,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102782101786987270.mp3,,False,False,,,,,[],0,0
4,GY,7081778349621759237,1648855012,Subscribe to my YouTube and stay tuned for something amazing with @MaddTeaCafe  #boba #fypシ #guyana #guyanatiktok,7025385847756260357,THEREALVALAVACADO,"I love content creation ✨
Follow my YouTube 🤍",,0,False,https://m.tiktok.com/v/7081778349621759237.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7081778349621759237&source=h5_m,241812,243,71,20,16908,7075534292511689498,7075534292511689498,72,7075534292511689498,Cool for summer x Pony,Kuya Magik,6768412728564253701,Kuya Magik,False,True,https://sf16-ies-music.tiktokcdn.com/obj/ies-music-aiso/7075534269686369050.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d652b7d2c3a023db6f701ec06bf98baa.json,False,False,Ginuwine,Pony,Cool for summer x Pony (Contains music from: Pony - Ginuwine),"Contains music from: ""Pony""",[],0,0
5,GY,7082093186067221765,1648928315,,6814649732243178501,Rhea,,,0,False,https://m.tiktok.com/v/7082093186067221765.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082093186067221765&source=h5_m,876345,149,162,65,34662,7082093154354842373,7082093154354842373,72,7082093154354842373,original sound - juliajanieneroberts,Rhea,6814649732243178501,Rhea,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7082093169344596742.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/d14f819b8d2cde7ebbefb04f8faa4374.json,False,False,,,,,[],0,0
6,GY,7102851958213528838,1653761595,,7089552724835992582,Sunny Ramroop492,✌original uptapdawg✌,,0,False,https://m.tiktok.com/v/7102851958213528838.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102851958213528838&source=h5_m,93854,165,165,128,5778,7100569891665283846,7100569891665283846,72,7100569891665283846,original sound - youv.id,YOUVID,6963791979478713350,YOUVID,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7100569900367792901.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/0cca9bca64b1c6e6dca2eed7708b8323.json,False,False,,,,,[],0,0
7,GY,7082482510189432069,1649018962,Reply to @user3759957931625 #fypシ  #fy  #guyanese🇬🇾  #funofit  #women,6793692086425322502,Lisa Ramnaraine,No bio yet,,0,False,https://m.tiktok.com/v/7082482510189432069.html?u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082482510189432069&source=h5_m,68790,78,7,6,5303,7081297472420678405,7081297472420678405,72,7081297472420678405,original sound - queenmodeactive__,👑,7080929142758392837,👑,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7081297490259282693.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/996cc6e66e1b489d975c47026acf237f.json,False,False,,,,,[],0,0
0,GY,7102889600292506885,1653770359,Learn my lesson 😂 and I’m still waiting to hear Crocodiles￼ teeth  #guyana #skengshow #guyanese,51950788826112000,Kimberly Nursé,💎,,0,False,https://www.tiktok.com/@kimberlynurs/video/7102889600292506885?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7102889600292506885&source=h5_m,213151,60,48,15,11929,7102889585181133573,7102889585181133573,72,7102889585181133573,original sound - kimberlynurs,Kimberly Nursé,51950788826112000,Kimberly Nursé,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7102889587277695749.mp3,,False,False,,,,,[],0,0
1,GY,7093288293562862854,1651534882,Just for fun 🤭 @jonathan5924,6876613279016829957,Dümbø🙃,"showsomelove ❤🥺
🇬🇾Guyanese🇬🇾
supportdehthing🥳🥳",,0,False,https://www.tiktok.com/@zatbitch17/video/7093288293562862854?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7093288293562862854&source=h5_m,159957,124,315,53,12094,6970867965268904709,6970867965268904709,72,6970867965268904709,original sound - jocelynyates3,Jocelyn Yates,6781577465900549125,Jocelyn Yates,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6970868081992190726.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/95cad775b51717245f5282e7b9a2fada.json,False,False,MORGENSHTERN,ICE,original sound - jocelynyates3 (Contains music from: ICE - MORGENSHTERN),"Contains music from: ""ICE""",[],0,0
2,SE,7077552661792443654,1647871143,She didn’t expect this 😅#motivation #trending #fyp #gymtok #fitness,7034174855751861254,ARK drops 💦,"❄️Natural Performance Booster❄️
Free worldwide shipping🚚💨
MADE IN SWEDEN",,0,False,https://www.tiktok.com/@arkdrops/video/7077552661792443654?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7077552661792443654&source=h5_m,1428130,221,270,762,24407,222471832057368576,222471832057368576,71,222471832057368576,Toxic,Britney Spears,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/47273c1e75ad4ab19785c165ba2175a7,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/5fd7f3293d20426bb8595a60ceebdc4f,True,True,,,,,"[{'h5_url': '', 'partner_name': 'apple', 'partner_song_id': '251948354', 'external_song_key': 'apple_song_id'}]",0,0
3,AO,7098984737208880390,1653343200,Speaker:#tate #truthbetold #relationshipadvice #lifetips #relationship #ladies #realitycheck #usa #realtalk #uk,7028210671867560966,Truth Be Told,"Road To 1 Million
Just One More Step.",,0,False,https://www.tiktok.com/@truth.be.told0/video/7098984737208880390?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7098984737208880390&source=h5_m,1226805,2228,12383,34430,105121,7101054952080902917,7101054952080902917,72,7101054952080902917,original sound - truth.be.told0,Truth Be Told,7028210671867560966,Truth Be Told,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7101054971479329541.mp3,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/pattern/ec3c276359510b8355f60c9d08e82f58.json,False,False,,,,,[],0,0
4,US,7082155986718297386,1648942937,#fyp #foryou #AFairShotWithBlock #foryoupage #GameTok #foryoupage #fypシ #foryourpage,6993044139324441605,alexx2224,"Skunt on a croissant🇫🇷🇬🇾 
Ig:Natasha_London666 Sc:natashaadams215",,0,False,https://www.tiktok.com/@idontgiveadamnoraf_ck/video/7082155986718297386?_r=1&u_code=0&preview_pb=0&language=en&_d=el6md4llhc27md&share_item_id=7082155986718297386&source=h5_m,876283,338,330,154,88946,7073876545902775046,7073876545902775046,10036,7073876545902775046,Whap Whap (feat. F.S.),Skillibeng,,,False,True,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/16c8c26b1d7144b184b1b942fc6d0eb4,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-v-2774/a76529d24f6f4094a8ae2c40b7ac3db6,False,True,,,,,[],0,0
